fein	filing_date	stmt_of_purpose
611580187	2017-06-30	MOUNTAIN PET RESCUE IS SPECIFICALLY ORGANIZED AND SHALL BE OPERATED AS A PUBLIC CHARITY PRIMARILY ENGAGED IN PROMOTING AND PROTECTING THE WELFARE OF ABUSED AND/OR NEGLECTED ANIMALS WITHIN THE MEANING OF SECTION 501(C)(3) OF THE INTERNAL REVENUE SERVICE.
770006273	2018-05-04	HUMANITARIAN OUTREACH AND CHRISTIAN MINISTRY
203830020	2018-05-16	"KIDS MOBILITY NETWORK PROVIDES DURABLE MEDICAL EQUIPMENT (""DME"") SUCH AS WHEELCHAIRS, WALKERS AND OTHER MDECIAL EQUIPMENT TO CHILDREN WITH DISABILITIES.    AT THE TIME OF THIS FILING, THE ORGANIZATION HAS PROVIDED OVER 1,500 PIECES OF DME TO CHILDREN WITH A COMMUNITY BENEFIT THAT EXCEEDS $5,500,000."
460791197	2018-07-18	THE PURPOSE OF THE ORGANIZATION IS FOR CHARITABLE AND EDUCATIONAL PURPOSES, MORE SPECIFICALLY, TO ENHANCE THE HEALTH AND WELFARE OF THE GENERAL PUBLIC BY ENCOURAGING, ORGANIZING AND PROMOTING ITS PARTICIPATION IN THE SPORT OF PICKLEBALL WITHIN THE CITY OF COLORADO SPRINGS, THE STATE OF COLORADO, AND THE SURROUNDING REGION.    THE ORGANIZATIONAL MISSION IS TO FOSTER PARTICIPATION IN LOCAL AMATEUR PICKLEBALL COMPETITIONS AND TO REDUCE THE BURDENS OF LOCAL GOVERNMENT.  SPECIFICALLY, THIS MISSION INCLUDES THE ORGANIZATION AND MANAGEMENT OF LOCAL, REGIONAL, NATIONAL, AND INTERNATIONAL PICKLEBALL TOURNAMENTS AND TO FINANCIALLY ASSIST THE CITY OF COLORADO SPRINGS, COLORADO A MUNICIPAL CORPORATION, EL PASO COUNTY, AND OTHER NON-PROFIT ORGANIZATIONS IN PLANNING AND FUNDING THE CONSTRUCTION AND MAINTENANCE OF PICKLEBALL COURTS AND SUPPORTING INFRASTRUCTURE IN MONUMENT VALLEY PARK AND OTHER VENUES IN THE CITY OR EL PASO COUNTY.
800364157	2018-07-20	THE BUSINESS AND PURPOSE OF THE PROGRAM IS TO PROVIDE A COORDINATED, MULTI-AGENCY, SINGLE ENTRY SITE WHICH CONTRIBUTES TO THE SAFETY OF YOUTH, FAMILIES, AND THE COMMUNITY THROUGH EARLY INTERVENTION, COMPREHENSIVE ASSESSMENT AND IMPROVED ACCESS TO APPROPRIATE SERVICES.     SINCE 2003 THE PROGRAM HAS SERVED 27,018 YOUTH.  OF THESE YOUTH 28.5% ARE FEMALE AND 71.5% MALE.  THE REASON FOR REFERRAL WAS   61% DISTRICT COURT CASES  14% COUNTY/MUNICIPAL CASES  13% FAMILY CONFLICT/WELFARE PLACEMENT/RUNAWAY YOUTH  7% VOLUNTARY APPOINTMENT REFERRAL BY PARENT  4% TRUANCY CASE/SCHOOL REFERRAL    EARLY INTERVENTION, PREVENTION AND IDENTIFICATION OF NEEDS IS VALUABLE TO THE COMMUNITY AS CHILDREN SHOWING PERSISTENT DISRUPTIVE BEHAVIOR ARE LIKELY TO BECOME CHILD DELINQUENTS AND, IN TURN, CHILD DELINQUENTS ARE LIKELY TO BECOME SERIOUS, VIOLENT, OR CHRONIC JUVENILE OFFENDERS. A DROPOUT STUDENT CAN COST A COMMUNITY AS MUCH AS $500,000 IN PUBLIC ASSISTANCE, HEALTH CARE, AND INCARCERATION COSTS OVER THE SPAN OF 30 YEARS. EACH CHILD PREVENTED FROM ENGAGING IN REPEAT CRIMINAL OFFENSES CAN SAVE THE COMMUNITY $1,700,000 TO $3,400,00 OVER A LIFETIME. THE PREVALENCE OF MENTAL DISORDERS AMONG YOUTH IN JUVENILE JUSTICE SYSTEMS IS 2 TO 3 TIMES HIGHER THAN AMONG YOUTH IN THE GENERAL POPULATION.
271447089	2018-08-14	SYSTEMS OF CARE INITIATIVE (SOCI) IS COMMITTED TO DEVELOPING COMMUNITY BASED PROGRAMS TO FOSTER IMPROVED HEALTHCARE AND PATIENT SATISFACTION WHILE HELPING TO CONTROL HEALTHCARE COSTS.    SOCI HAS 5 INITIATIVES FOCUSED AROUND ADVANCE CARE PLANNING.  1)  SOCI PROVIDES ADVANCE CARE PLANNING (ACP) SERVICES TO PEOPLE IN NORTHERN COLORADO UTILIZING ITS COACHES.  2)  SOCI TRAINS VOLUNTEERS TO HELP PEOPLE COMPLETE THEIR ADVANCE CARE DIRECTIVES AND TO HAVE THE CONVERSATION ABOUT THEIR END OF LIFE WISHES.  3)  SOCI IS DEVELOPING AN EDUCATIONAL VIDEO ABOUT ACP FOR COLORADO PHYSICIANS AND THEIR HEALTH TEAMS (NURSE PRACTITIONER, PHYSICIAN ASSISTANTS, SOCIAL WORKERS, ETC.) AND A SEPARATE VIDEO FOR PATIENTS TO VIEW PRIOR TO THEIR CONVERSATION WITH THEIR PRIMARY CARE PROVIDER THAT IS IPAD AND SMART PHONE COMPATIBLE.  4)  SOCI FORMED A MULTI-STAKEHOLDER WORKGROUP WITH REPRESENTATIVES FROM THE COMMUNITY TO SET COMMUNITY GOALS FOR ADVANCE CARE DIRECTIVES.  5) SOCI HAS LAUNCHED A PROGRAM TO ENCOURAGE AND ASSIST PHYSICIANS AND THEIR STAFFS IN HAVING CONVERSATIONS WITH THEIR PATIENTS ABOUT END OF LIFE WISHES AND ADVANCE CARE DIRECTIVES.  THE GOAL IS TO ENSURE THAT ALL MEMBERS OF THE HEALTHCARE TEAM IN PRIMARY CARE PRACTICES HAVE TRAINING TO ENGAGE IN MEANINGFUL CONVERSATIONS WITH PATIENTS, HAVE KNOWLEDGE OF FORMS TO COMPLETE WITH PATIENTS AND CAN APPROPRIATELY UPDATE THE PERSON S MEDICAL RECORD.    DURING 2017 SOCI COACHES ENGAGED 1306 PEOPLE IN CONVERSATIONS ABOUT ADVANCE DIRECTIVES.  THERE WERE 510 ADVANCE DIRECTIVES COMPLETED.    THE CONVERSATION OCCURRED IN THE FOLLOWING TYPES OF SETTINGS:  1)  ONE ON ONE HOME VISITS: 130 PEOPLE WITH 110 COMPLETED DIRECTIVES: 85% COMPLETED THEIR ADVANCE DIRECTIVES.  2)  VISITS AT PLACE OF EMPLOYMENT:  685 PEOPLE WITH 354 COMPLETED DIRECTIVES:  52% COMPLETED THEIR ADVANCE DIRECTIVES.  3)  COMMUNITY FORUMS (PRESENTATIONS OR BOOTHS NOT RELATED TO PLACE OF EMPLOYMENT): 491 PEOPLE WITH 46 COMPLETED DIRECTIVES: 9% COMPLETED THEIR ADVANCE DIRECTIVES.    23
822936407	2018-07-20	PROVIDING HANDS ON EXPERIENCES AND EDUCATIONAL OPPORTUNITIES THAT WILL FOSTER A PASSION FOR ASTRONOMY AND SCIENCE IN WESTERN COLORADO AS WELL AS THROUGHOUT THE USA VIA REMOTE CONTROL OF THE TELESCOPES.
475308662	2018-07-20	PAJAPATI FOUNDATION'S MISSION IS TO SERVE THE COMMUNITY OF TIBETAN BUDDHIST NUNS IN THE US AND OTHER WESTERN COUNTRIES, BY PROVIDING INDIVIDUAL GRANTS OF ANY AMOUNT FOR THE PURPOSES OF PROVIDING MATERIAL SUPPORT FOR THOSE IN NEED.
841238112	2018-08-24	THE PRIMARY PURPOSE FOR WHICH THIS CORPORATION IS FORMED IS TO CARRY ON EDUCATIONAL AND CHARITABLE ACTIVITIES WITHIN THE MEANING OD SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1954, AS AMENDED INCLUDING, BUT NOT LIMITED TO:  TO SERVE AS A NEUTRAL ENTITY FOR PROVIDING COMMUNITY INFORMATION AND COMMUNICATION NETWORK FOR THE DEVELOPMENT OF A SHARED COMMUNITY VISION FOR THE FUTURE OF GUNNISON COUNTY.  TO OBTAIN FUNDS WHICH MAY BE AVAILABLE FOR THE ABOVE PURPOSE.  TO MAINTAIN CLOSE AND CONTINUOS WORKING RELATIONSHIPS WITH FED, STATE AND LOCAL OFFICIALS, OTHER NON-PROFIT ORGANIZATIONS AND MEMBERS OF THE COMMUNITY WHO SHARE THE COMMON DESIRE TO PLAN FOR THE FUTURE OF GUNNISON COUNTY.  AS A RESULT OF OUR EFFORTS SO FAR, GUNNISON COUNTY HAS ESTABLISHED LAND USE GUIDELINES, GUNNISON CRESTED BUTTE LAND TRUST, GUNNISON TRAILS COMMISSION,GUNNISON COMMUNITY FOUNDATION AS WELL AS ESTABLISHED THE ELK MOUNTAINS GRAND TRAVERSE. IN 2014 THE BOARD ADOPTED A RESOLUTION TO INCLUDE COCHETOPA THERAPEUTIC HORSEMANSHIP THEY SERVE THE PUBLIC WITH SPECIAL NEEDS IN GUNNISON COUNTY. THEY TAUGHT OVER 200 LESSON DAYS IN 2015. BOTH PARTICIPANTS AND FAMILY BENEFIT FROM THIS ACTIVITY.WE PUBLISH A ANNUAL NEWS LETTER.
465066402	2018-04-17	THE PURPOSE OF ROOTS OF UNITY IS TO SUPPORT THE RESEARCH, NON-COMMERCIAL DEVELOPMENT, AND PEACEFUL APPLICATION OF THE TOPSY TECHNOLOGY TO CONTEMPORARY CULTURAL AND SPIRITUAL ENDS INCLUDED IN WHICH ARE FILING AND HOLDING PATENTS, COPYRIGHTS AND OTHER INTELLECTUAL PROPERTY; SUPPORTING THE ACTIVITIES OF DR. MICHAEL MANTHEY - THE CREATOR OF TOPSY - IN THIS ENDEAVOR; AND BEING A FINANCIAL PHILANTHROPIC SUPPORTER OF OTHER WELL-MEANING EFFORTS IN THIS FIELD OF ENDEAVOR. THE TOPSY TECHNOLOGY, UNTIL ITS FORMAL PUBLICATION, IS BEING HELD FROM THE INNUMERABLE CLIENTS THAT WILL CERTAINLY ARISE. DR. MANTHEY SUBMITTED A REFEREED CONTRIBUTION TO THE HIGGS-BOZON DISCUSSION IN SWITZERLAND IN 2016.
