id,taxyr,businessname1,businessname2,ein,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,activityormissiondesc,typeoforganizationcorpind,typeoforganizationtrustind,typeoforganizationassocind,typeoforganizationotherind,otherorganizationdsc,formationyr,legaldomicilestatecd,legaldomicilecountrycd
201723109349301412,2016,DREAM CENTERS OF COLORADO SPRINGS,,274876080,9,5,19,1115,"DREAM CENTERS OF COLORADO SPRINGS(DREAM CENTERS') MISSION IS TO PROVIDE HEALTH AND HOPE BY MEETING THE NEEDS OF THE POOR IN THE PIKES PEAK REGION. DREAM CENTERS IS FOCUSED ON TWO PROJECTS: A FREE WOMEN'S CLINIC TO PREVENT GENERATIONAL POVERTY, AND MARY'S HOME FOR HOMELESS SINGLE-MOTHER FAMILIES TO REVERSE GENERATIONAL POVERTY AND FAMILY HOMELESSNESS.",t,f,f,f,,2011,CO,
201221319349302032,2010,Health SET,,841102943,7,4,0,45,HealthSET is dedicated to improving lives of the low-income elderly. Our highly-skilled nurses and case workers provide free clinics and substantial case management services to people who live independently.,t,f,f,f,,1988,CO,
201642659349300549,2015,FORT LUPTON DEVELOPMENT CORP,,237183742,4,4,0,4,PROMOTE ECONOMIC DEVELOPMENT,t,f,f,f,,1975,CO,
201723199349318512,2016,Denver Police Officers Foundation,,841510625,25,25,1,75,"The Denver Police Officers' Foundation (DPOF) provides financial assistance and support to active and former Denver Police Officers, civilian employees of the Police Department and immediate members of their families during times of crisis, death, and long-term illness. The program is funded largely through monthly city payroll deductions, but also through donations and fundraising. Since 1999, this program has assisted over hundreds of officers and their families who have experienced medical emergencies, accidents, injuries, house fires, on-going health issues, and funeral expenses.",t,f,f,f,,2000,CO,
201611349349302181,2014,Augustine Institute Inc,,202349108,16,15,69,0,"The Augustine Institute serves the formation of Catholics for the New Evangelization. Through academic and parish programs, the Augustine Institute equips Catholics intellectually, spiritually, and pastorally to renew the Church and transform the world for Christ.",t,f,f,f,,2005,CO,
201712989349301576,2016,REAL LIFE MINISTRIES,,200964369,7,4,2,,MARRIAGE SEMINARS AND COUNSELING TO PROMOTE HEALTHY AND SUCCESSFUL MARRIAGES.,t,f,f,f,,2004,CO,
201503159349303775,2014,Global Connection International,,841537632,9,7,4,12,Connecting people who care with the world's greatest needs.,t,f,f,f,,2000,CO,
201700329349301115,2015,Tri-Lakes Cares,,742501356,9,9,19,350,"Tri-Lakes Cares is a community based, volunteer supported, resource center whose purpose is to improve people's lives through emergency, relief, & self-sufficiency programs.",t,f,f,f,,1984,CO,
201830459349300638,2016,SENIOR ASSISTANCE CENTER,,742270678,6,6,27,25,"TO PROVIDE ASSISTANCE TO SENIOR CITIZENS BY OFFERING THEM EMPLOYMENT, FOOD, COUNSELING AND FINANCIAL ASSISTANCE WITH HOUSING AND UTILITY EXPENSES.",t,f,f,f,,1980,CO,
201622009349301207,2015,SAVE OUR YOUTH INC,,841295393,13,13,50,566,ASSIST IN REACHING YOUTH IN THE URBAN NEIGHBORHOODS OF DENVER WHO ARE CAUGHT IN THE ESCALATION OF VIOLENCE AND GANG ACTIVITY TO ASSIST THEM IN BECOMING PRODUCTIVE CITIZENS.,t,f,f,f,,1995,CO,
201510199349300616,2013,BethHaven Incorporated,,840829849,10,10,26,6,BethHaven is designed to provide a supervised family type residence for adults with severe and persistent mental illness.,t,f,f,f,,1980,CO,
201411219349300406,2013,Animal Rescue of the Rockies,,201055815,5,5,11,75,Animal Care and Adoption,t,f,f,f,,2004,CO,
201523109349300232,2014,COLORADO STATE UNIVERSITY RESEARCH FOUNDATION,,840600653,4,4,28,4,AID & ASSIST UNIVERSITIES GOVERNED BY THE CSU SYSTEM IN THEIR RESEARCH & EDUCATIONAL EFFORTS.,t,f,f,f,,1941,CO,
201601279349300930,2015,Frequent Flyers Productions Inc,,841136452,6,5,4,50,Frequent Flyers mission is to create and promote the magic of aerial dance through performance and education.,t,f,f,f,,1990,CO,
201503199349300800,2014,CATHOLIC TELEVISION APOSTOLATE,,841261595,2,2,0,,CATHOLIC TELEVISION BROADCAST,t,f,f,f,,1994,CO,
201140749349300349,2010,RETIRED ENLISTED ASSN 39 TREA CHAPTER,,840999784,300,300,0,,VETERAN BENEVOLENTSOCIAL,t,f,f,f,,1991,CO,
201723139349303312,2016,Moonshot edVentures,,814177800,6,6,0,10,"Moonshot edVentures envisions a learner-centered system, led by individuals who share and empathize with the experience of the students and communities they aim to serve, where all children become life-long learners who persist through life and meaningfully contribute to their communities.",t,f,f,f,,2016,CO,
201640539349300934,2014,Solid Waste Association of North America Inc,,742273261,15,15,0,30,Advancing the practice of environmentally and economically sound management of municipal solid waste in North America.,t,f,f,f,,1983,CO,
201701099349300235,2016,COLORADO FEDERATION FOR DECENCY INC,,841355071,2,0,2,,COUNSELING,t,f,f,f,,1996,CO,
201130459349301168,2009,Seniors in Community Living Inc,,846116675,12,12,0,0,Low income housing.,t,f,f,f,,2003,CO,
201123209349300742,2010,SOUTHWESTERN COLORADO AREA HEALTH,,272461746,11,11,2,11,To improve quality and accessibility of health-related eductaion and community and public health programming for students professionals and community members,t,f,f,f,,2010,CO,
201400989349300920,2013,HIGHLANDS RANCH CULTURAL AFFAIRS ASSOCIATION,,311764221,5,5,0,13,PROVIDE CULTURAL AND EDUCATIONAL EVENTS FOR THE HIGHLANDS RANCH COMMUNITY.,t,f,f,f,,2001,CO,
201722569349301037,2016,SAFE HARBOR RANCH INC,,320343739,0,0,0,0,"THIS ORGANIZATION PROVIDES REST, REHABILITATION, AND RETIREMENT FOR RANCH ANIMALS.",t,f,f,f,,2011,CO,
201600299349300015,2014,ARVADA COMMUNITY FOOD BANK,,742250374,11,11,10,350,"ACFB PROVIDES ITS NEIGHBORS WITH FOOD ASSISTANCE AND OTHER RESOURCES TO FOSTER SELF-SUFFICIENCY AND ACHIEVE LONG TERM SUCCESS THROUGH INNOVATION, COMPASSION AND COMMUNITY SUPPORT.",t,f,f,f,,1982,CO,
201311359349301121,2012,SECOND CHANCE HUMANE SOCIETY INC,,841266231,7,7,33,85,"Mission Statement: Saving Animal's Lives and Promoting Responsible Pet Parenting & the Human-Animal Bond. Second Chance Humane Society operates an animal shelter and is a provider of humane education and prevention programs, including spay/neuter assistance, mobile adoption, safe harboring and pet therapy.",t,f,f,f,,1994,CO,
201810239349301006,2016,MESA COUNTY RSVP INC,,841516029,7,7,4,533,SERVING THE COMMUNITY BY UTILIZING THE SKILLS OF SENIOR VOLUNTEERS AND PLACING THEM IN REWARDING OPPORTUNITIES.,t,f,f,f,,1999,CO,
201732859349301228,2016,DIAMOND EMPOWERMENT FUND INC,,205967103,24,24,3,0,"""THE DIAMOND EMPOWERMENT FUND"" MISSION IS TO SUPPORT INITIATIVES THAT DEVELOP AND EMPOWER PEOPLE IN DIAMOND COMMUNITIES WORLDWIDE WITH THE BELIEF THAT EDUCATION IS A KEY COMPONENT TO SUSTAINABLE DEVELOPMENT, WHICH IN TURN IS ESSENTIAL TO EMPOWER INDIVIDUALS, COMMUNITIES, AND SOCIETY TOWARD FUTURE ECONOMIC PROSPERITY, STABILITY, AND ADVANCEMENT.",t,f,f,f,,2006,DE,
201540429349302264,2014,PARKER YOUTH INC,,841271732,20,20,1,0,"TO GIVE YOUTH OF PARKER, COLORADO THE OPPORTUNITY TO COMPETE IN YOUTH SPORTS",t,f,f,f,,2004,CO,
