county,pop_2012,hispanic_2012,white_nh_2012,black_nh_2012,ntvam_nh_2012,asian_nh_2012,hawpi_nh_2012,other_nh_2012,twoplus_nh_2012,male_2012,female_2012,ageless5_2012,age5_9_2012,age10_14_2012,age15_19_2012,age20_24_2012,age25_29_2012,age30_34_2012,age35_39_2012,age40_44_2012,age45_49_2012,age50_54_2012,age55_59_2012,age60_64_2012,age65_69_2012,age70_74_2012,age75_79_2012,age80_84_2012,age85pl_2012,ageless18_2012,age18_24_2012,med_age_2012,households_2012,familyhh_2012,nonfamhh_2012,hhldralone_2012,hhldr_naln_2012,housing_un_2012,occ_hu_2012,vac_hu_2012,owned_2012,rented_2012,pop25plus_2012,nohsdipl_2012,hsgrad_sc_2012,bachl_hghr_2012,med_hh_inc_2012,med_fam_in_2012,per_cap_in_2012,med_yr_blt_2012,med_c_rent_2012,med_g_rent_2012,med_hm_val_2012,citz_birth_2012,citz_nat_2012,not_citz_2012,born_in_co_2012,brn_oth_st_2012,ntv_b_o_us_2012,foreign_b_2012,pop_1p_2012,same_house_2012,same_cnty_2012,same_state_2012,diff_state_2012,frm_abroad_2012,wrkrs_16pl_2012,car_all_2012,car_alone_2012,car_carpoo_2012,public_trn_2012,pt_bus_2012,pt_other_2012,bike_2012,walk_2012,tr_other_2012,wrk_home_2012,w_16pl_nh_2012,t_less_10_2012,t_10_19_2012,t_20_29_2012,t_30_39_2012,t_40_59_2012,t_60_pl_2012,pop_3pl_2012,enrolled_2012,preschool_2012,kndrgrtn_2012,gr_1_4_2012,gr_5_8_2012,gr_9_12_2012,undergrad_2012,grad_prof_2012,n_enrolled_2012,blt_2010_p_2012,b2000_2009_2012,b1990_1999_2012,b1980_1989_2012,b1970_1979_2012,b1960_1969_2012,b1950_1959_2012,b1940_1949_2012,b1939_e_2012,own_occ_hu_2012,v_l_50k_2012,v50k_100k_2012,v100k_150k_2012,v150k_200k_2012,v200k_250k_2012,v250k_300k_2012,v300k_400k_2012,v400k_500k_2012,v500k_750k_2012,v750k_1m_2012,v_1m_plus_2012,rnt_occ_hu_2012,rntl400_2012,r400t599_2012,r600t799_2012,r800t999_2012,r1000t1249_2012,r1250t1499_2012,r1500t1999_2012,r2000pl_2012,rnocshr_2012,ps_uni_2012,ps_below_2012,ps_bel150_2012,tot_l18_2012,puni_65pl_2012,pov_l18_2012,pov_65pl_2012,avghhsize_2012,hhi_l20k_2012,hhi20_30_2012,hhi30_40_2012,hhi40_50_2012,hhi50_60_2012,hhi60_75_2012,hhi75_100_2012,hhi100_125_2012,hhi125_150_2012,hhi150_200_2012,hhi200_pl_2012,civ_ni_pop_2012,disabled_2012,pop16_pls_2012,laborforce_2012,civ_lf_2012,emp_2012,unemp_2012,armedfrcs_2012,not_lf_2012,civ_ni_p_2012,pop_2017,hispanic_2017,white_nh_2017,black_nh_2017,ntvam_nh_2017,asian_nh_2017,hawpi_nh_2017,other_nh_2017,twoplus_nh_2017,male_2017,female_2017,ageless5_2017,age5_9_2017,age10_14_2017,age15_19_2017,age20_24_2017,age25_29_2017,age30_34_2017,age35_39_2017,age40_44_2017,age45_49_2017,age50_54_2017,age55_59_2017,age60_64_2017,age65_69_2017,age70_74_2017,age75_79_2017,age80_84_2017,age85pl_2017,ageless18_2017,age18_24_2017,med_age_2017,households_2017,familyhh_2017,nonfamhh_2017,hhldralone_2017,hhldr_naln_2017,housing_un_2017,occ_hu_2017,vac_hu_2017,owned_2017,rented_2017,pop25plus_2017,nohsdipl_2017,hsgrad_sc_2017,bachl_hghr_2017,med_hh_inc_2017,med_fam_in_2017,per_cap_in_2017,med_yr_blt_2017,med_c_rent_2017,med_g_rent_2017,med_hm_val_2017,citz_birth_2017,citz_nat_2017,not_citz_2017,born_in_co_2017,brn_oth_st_2017,ntv_b_o_us_2017,foreign_b_2017,pop_1p_2017,same_house_2017,same_cnty_2017,same_state_2017,diff_state_2017,frm_abroad_2017,wrkrs_16pl_2017,car_all_2017,car_alone_2017,car_carpoo_2017,public_trn_2017,pt_bus_2017,pt_other_2017,bike_2017,walk_2017,tr_other_2017,wrk_home_2017,w_16pl_nh_2017,t_less_10_2017,t_10_19_2017,t_20_29_2017,t_30_39_2017,t_40_59_2017,t_60_pl_2017,pop_3pl_2017,enrolled_2017,preschool_2017,kndrgrtn_2017,gr_1_4_2017,gr_5_8_2017,gr_9_12_2017,undergrad_2017,grad_prof_2017,n_enrolled_2017,blt_2010_p_2017,b2000_2009_2017,b1990_1999_2017,b1980_1989_2017,b1970_1979_2017,b1960_1969_2017,b1950_1959_2017,b1940_1949_2017,b1939_e_2017,own_occ_hu_2017,v_l_50k_2017,v50k_100k_2017,v100k_150k_2017,v150k_200k_2017,v200k_250k_2017,v250k_300k_2017,v300k_400k_2017,v400k_500k_2017,v500k_750k_2017,v750k_1m_2017,v_1m_plus_2017,rnt_occ_hu_2017,rntl400_2017,r400t599_2017,r600t799_2017,r800t999_2017,r1000t1249_2017,r1250t1499_2017,r1500t1999_2017,r2000pl_2017,rnocshr_2017,ps_uni_2017,ps_below_2017,ps_bel150_2017,tot_l18_2017,puni_65pl_2017,pov_l18_2017,pov_65pl_2017,avghhsize_2017,hhi_l20k_2017,hhi20_30_2017,hhi30_40_2017,hhi40_50_2017,hhi50_60_2017,hhi60_75_2017,hhi75_100_2017,hhi100_125_2017,hhi125_150_2017,hhi150_200_2017,hhi200_pl_2017,civ_ni_pop_2017,disabled_2017,pop16_pls_2017,laborforce_2017,civ_lf_2017,emp_2017,unemp_2017,armedfrcs_2017,not_lf_2017,civ_ni_p_2017,malePopulation_2025,femalePopulation_2025,totalPopulation_2025,age85_pl_2025,age80_84_2025,age75_79_2025,age70_74_2025,age65_69_2025,age60_64_2025,age55_59_2025,age50_54_2025,age45_49_2025,age40_44_2025,age35_39_2025,age30_34_2025,age25_29_2025,age20_24_2025,age15_19_2025,age10_14_2025,age5_9_2025,ageless_5_2025,ageless_18_2025,age18_24_2025,county_code_2017,pk-12_count_2017,not_eligible_2017,free_and_reduced_2017,pcnt_free_and_reduced_2017
Adams,442996,167556,235991,12970,2104,15304,515,787,7769,222869,220127,37801,37023,32635,29698,30211,35981,36142,34051,31408,30080,28094,24371,17905,13112,8841,7004,4511,4128,126088,41280,32.4,151034,107200,43834,34773,9061,163245,151034,12211,100108,50926,275628,51961,166731,56936,56633,64335,24357,1983,819,947,188100,376454,19718,46824,223907,148182,4365,66542,435752,355824,38313,29464,9246,2905,210064,188620,162015,26605,8282,8223,59,719,2868,2347,7228,202836,15246,46157,46782,48119,32027,14505,420756,117499,8081,6611,28761,26645,24342,19299,3760,303257,270,38682,27598,20368,30185,19615,20369,3419,2739,100108,8578,4811,15027,27883,19700,9693,8086,2803,2624,464,439,50926,2044,4176,10365,11016,10599,5972,4948,743,1063,438171,62008,105634,124375,36730,25278,2992,2.91,20401,14462,14919,15009,15082,18080,21766,14488,7313,5794,3720,439480,41531,329347,236474,236110,213794,22316,364,92873,439480,487850,191857,249239,14662,2382,18605,604,958,9543,245840,242010,36797,37842,38833,32199,31589,38575,40393,37510,33884,31647,30485,28318,22895,17682,11321,7990,5086,4804,134408,42852,33.4,162508,115202,47306,35654,11652,169275,162508,6767,105226,57282,310590,54006,184971,71613,64087,72332,27487,1985,1040,1172,241900,413382,23116,51352,256136,152849,4397,74468,18293,16576,964,605,126,22,242724,215608,188513,27095,9294,9015,279,542,2960,2108,12212,230512,16947,52627,52449,51144,36272,21073,465878,129656,7421,8200,29564,30705,29641,19814,4311,336222,6813,38889,28250,21113,30024,18460,19583,2844,3299,105226,8169,3337,7475,18109,18535,16222,19931,7278,4673,906,591,57282,1666,1588,6385,9689,12558,10284,10571,3163,1378,483246,59050,105607,132845,45866,21820,3906,2.98,17788,13701,15355,15206,13522,18880,24803,16843,9741,9810,6859,484371,51764,366838,260199,259810,246450,13360,389,106639,484371,301401,298567,599962,7768,8311,14151,18969,25217,29096,31118,34538,37417,42498,48757,52887,49589,41579,40329,37896,37949,49785,149838,58081,1,83921,42544,41358,0.492820629
Alamosa,15750,7185,7767,110,32,59,14,112,471,7949,7801,1173,921,1096,1824,1312,1071,827,1120,590,1074,1072,1088,792,596,486,276,223,209,3817,2509,32.2,5853,3732,2121,1835,286,6572,5853,719,3702,2151,9424,1305,5946,2173,38045,49233,19657,1974,490,585,133200,14868,254,628,9542,5162,164,882,15543,12485,1520,1040,479,19,6349,5436,4841,595,59,59,0,79,497,74,204,6145,2396,2368,462,533,217,169,14903,5362,311,164,736,801,890,2285,175,9541,8,650,866,862,1405,654,591,331,1205,3702,435,790,809,707,370,305,92,131,46,0,17,2151,450,588,420,233,230,23,0,0,207,14622,3191,5099,3817,1712,758,296,2.49,1801,722,495,754,489,505,424,304,79,111,169,15437,2363,12358,7171,7171,6449,722,0,5187,15437,16345,7488,7948,264,206,168,26,38,207,8085,8260,1109,996,1295,1496,2038,1150,983,892,883,723,893,935,911,735,470,479,212,145,3976,2958,30.3,6049,3714,2335,1739,596,6867,6049,818,3443,2606,9411,1588,5354,2469,36315,46274,19217,1976,542,675,152900,14688,426,1231,9501,5003,184,1657,24849,22160,917,1079,597,96,6417,5869,4863,1006,1,1,0,56,271,34,186,6231,2656,1961,864,431,167,152,15827,5371,322,155,1028,878,953,1891,144,10456,309,800,1027,774,1430,863,394,286,984,3443,399,472,784,910,416,228,136,47,37,0,14,2606,462,522,908,344,65,107,81,0,117,15248,4239,6576,3904,2004,1320,283,2.52,1668,824,707,677,446,583,558,252,98,122,114,15903,3067,12743,7316,7316,6593,723,0,5427,15903,8939,8962,17894,351,372,638,846,986,939,782,878,963,1129,1055,968,1046,1719,1729,1265,1123,1325,4767,2554,2,2636,983,1653,0.627086495
Arapahoe,574357,105174,364766,55629,2211,28067,1166,1267,16077,281842,292515,40293,42488,38810,38590,35384,43033,41905,40495,42102,42441,42459,37217,30184,20270,12857,10334,7728,7767,146638,48927,35.7,223747,146752,76995,64531,12464,238160,223747,14413,143158,80589,378792,33815,199197,145780,60400,74070,32845,1982,831,950,230900,487576,32364,54417,223433,255812,8331,86781,566158,460748,47140,36663,17726,3881,288166,251085,225537,25548,13580,9899,3681,1220,4616,3073,14592,273574,24031,66870,69870,58419,37774,16610,549701,153854,9701,7813,33703,30902,33425,29388,8922,395847,550,39415,33989,56011,62253,22258,16519,3310,3855,143158,4207,6725,15449,27839,28096,18368,19845,8679,7660,2826,3464,80589,1819,5940,16759,19643,15414,9391,7703,2277,1643,568999,66945,113912,144576,57167,23054,5014,2.55,30852,20763,21131,19443,19049,24101,28404,20955,13180,12720,13149,568663,49870,444215,320199,318041,292089,25952,2158,124016,568663,626612,118350,384195,63646,1937,35322,1286,1697,20179,309190,317422,40357,42122,44576,38825,39181,47013,48270,43181,46101,42372,42328,40519,36592,27776,18528,12463,7919,8489,152415,52646,36.4,235263,155492,79771,62520,17251,246011,235263,10748,147380,87883,421551,32522,213763,175266,69553,84049,36951,1983,1093,1218,292900,533523,39874,53215,256360,266635,10528,93089,5599,4850,122,351,248,28,326575,280584,252682,27902,14455,9422,5033,1189,4987,3123,22237,304338,23818,72758,76910,67257,41567,22028,602395,161469,10461,8345,33300,35749,34909,28813,9892,440926,7572,39281,35792,57893,60512,20460,16658,3541,4302,147380,3899,4154,9038,16969,21555,21063,30468,17552,13856,4097,4729,87883,2204,2023,6833,14938,19477,16027,17665,6758,1958,620365,61463,103633,149977,73170,19726,4818,2.64,23961,17277,20007,19643,19170,25768,32726,24505,16170,17165,18871,620873,55935,491145,350215,348571,330548,18023,1644,140930,620873,358072,369447,727527,12443,13985,23423,29832,36122,38553,39167,42414,43357,49873,52518,61144,57970,46222,43462,43691,45359,57289,172378,63013,3,119630,68264,51366,0.429373903
Archuleta,12109,2157,9493,9,33,117,9,0,291,6290,5819,499,646,804,1030,471,326,308,651,799,938,1061,1191,1297,857,448,353,226,204,2420,1030,47.5,4536,3258,1278,1163,115,8742,4536,4206,3532,1004,8659,647,4882,3130,54007,63727,29771,1990,741,897,291300,11729,195,185,3411,8225,93,380,12074,10567,847,126,527,7,5233,4559,3793,766,15,15,0,25,130,54,450,4783,1080,2055,726,205,188,529,11866,2588,212,69,494,748,789,228,48,9278,49,2204,2186,2054,1384,326,124,134,281,3532,152,186,327,397,384,387,766,217,395,157,164,1004,74,38,215,275,196,56,40,21,89,11989,1051,2433,2386,2050,359,158,2.64,722,429,556,396,452,499,581,327,184,150,240,12023,1649,10019,6124,6124,5444,680,0,3895,12023,12592,2309,9661,136,267,92,0,25,102,6400,6192,620,593,654,497,739,545,692,552,661,772,818,1166,1354,1163,868,415,263,220,2193,910,49.8,5553,3680,1873,1555,318,9121,5553,3568,4076,1477,9489,902,5079,3508,48016,54980,29344,1994,726,904,274000,11778,381,433,3424,8259,95,814,921724,808244,58345,34828,13756,6551,5444,4602,3866,736,9,9,0,14,204,86,529,4915,1577,1746,752,337,317,186,12186,2072,55,61,655,433,402,390,76,10114,358,3085,2012,1878,1037,266,96,93,296,4076,140,359,330,606,352,524,743,350,381,171,120,1477,78,94,335,336,215,133,114,88,84,12451,1446,2977,2155,2879,459,113,2.24,827,813,730,539,470,665,536,385,218,189,181,12489,1741,10610,6024,6024,5696,328,0,4586,12489,7536,7670,15204,474,591,1095,1264,1286,1187,937,883,905,904,723,729,646,632,749,799,703,834,2820,921,4,1568,846,722,0.460459184
Baca,3783,347,3311,16,33,30,2,5,39,1874,1909,248,178,247,238,103,181,176,166,238,239,291,229,317,237,192,176,105,222,832,182,47.8,1675,1070,605,546,59,2253,1675,578,1236,439,2769,377,1909,483,39497,47031,22436,1961,283,454,72300,3654,63,66,1996,1641,17,129,3739,3274,297,97,71,0,1794,1397,1216,181,3,3,0,15,140,14,225,1569,888,289,180,114,66,32,3663,749,79,39,126,221,215,52,17,2914,0,46,172,172,470,284,306,320,483,1236,399,444,157,89,55,30,19,3,20,0,20,439,101,152,59,39,6,0,0,0,82,3649,530,1023,824,850,139,86,2.18,435,197,223,215,169,146,156,49,39,9,37,3657,704,3081,1876,1876,1827,49,0,1205,3657,3581,376,3069,52,39,0,0,0,45,1732,1849,190,201,210,210,162,173,195,152,205,181,251,273,276,221,209,185,149,138,750,223,47.6,1603,1040,563,504,59,2257,1603,654,1148,455,2608,379,1671,558,35898,45976,22853,1964,380,540,79800,3436,33,112,1780,1656,0,145,414137,375977,27511,5523,2299,2827,1609,1305,1147,158,0,0,0,12,149,9,134,1475,770,310,108,157,87,43,3451,716,84,25,146,186,174,83,18,2735,11,145,135,267,400,263,247,319,470,1148,352,393,137,100,63,31,27,7,15,8,15,455,113,98,70,27,18,3,6,4,116,3463,674,1171,728,850,209,118,2.17,397,230,257,138,136,97,150,86,40,49,23,3479,762,2946,1739,1733,1655,78,6,1207,3479,1686,1699,3378,159,137,173,214,235,226,191,184,186,226,152,191,156,143,194,230,209,211,772,212,5,615,230,385,0.62601626
Bent,6192,1908,3445,525,147,85,0,16,66,3997,2195,268,209,344,334,328,487,482,508,654,401,510,420,376,256,224,148,86,157,1039,444,40.6,1932,1229,703,614,89,2255,1932,323,1215,717,4709,1036,3254,419,36297,42462,15259,1955,448,627,70600,5923,59,210,3512,2300,111,269,6145,5048,464,519,101,13,1618,1375,1203,172,3,3,0,0,96,15,129,1489,653,314,233,139,66,84,6029,1022,61,49,198,268,286,141,19,5007,11,73,231,268,357,104,173,281,757,1215,415,447,101,58,83,45,28,0,38,0,0,717,106,133,256,84,15,0,11,0,112,4354,912,1575,1017,696,207,74,2.25,519,240,339,193,126,220,195,45,26,13,16,4376,1150,5294,1958,1958,1648,310,0,3336,4376,5806,1857,3530,352,28,26,0,0,13,3767,2039,212,263,266,220,273,661,590,373,429,338,454,431,315,355,234,140,92,160,903,331,40.4,1760,1209,551,492,59,2252,1760,492,1101,659,4572,689,3414,469,32500,40893,14028,1957,429,669,77700,5494,62,250,3313,2144,37,312,8054,6515,855,354,277,53,1325,1189,1030,159,0,0,0,0,53,36,47,1278,481,333,168,139,88,69,5693,808,67,102,188,239,159,38,15,4885,22,86,171,247,346,201,206,267,706,1101,315,433,130,93,25,19,3,18,41,19,5,659,68,124,215,114,31,0,0,0,107,3876,948,1520,899,897,291,93,2.18,528,279,176,242,117,122,135,40,62,40,19,3880,1003,4999,1510,1510,1370,140,0,3489,3880,3790,2272,6064,164,153,232,255,312,329,274,293,367,548,550,543,495,415,294,280,286,332,1068,537,6,1447,391,1056,0.729785764
Boulder,297218,39475,235676,2230,816,11876,102,598,6445,149296,147922,16413,17801,17770,23901,30918,19863,19406,20726,20496,21844,22315,20571,15036,10246,6880,5306,3516,4210,62518,44285,35.6,120061,70680,49381,34089,15292,127105,120061,7044,75992,44069,190415,11364,68589,110462,67403,92788,38283,1980,974,1077,354300,264892,11659,20667,95072,165850,3970,32326,294069,224465,37651,14102,14892,2959,155455,114422,101897,12525,8248,8165,83,6648,6995,2025,17117,138338,22694,48527,28844,18108,12936,7229,287972,92978,5607,3521,14493,14060,14049,33491,7757,194994,443,16679,26030,20780,28554,16025,7312,1940,9342,75992,3355,760,2534,7217,8502,7851,14323,10030,13177,4511,3732,44069,1393,1454,5984,9784,9110,5702,5943,3460,1239,287760,38134,59698,61999,29027,7778,1635,2.39,17171,10009,9972,9437,7528,11484,14443,11517,8131,9996,10373,294929,21081,242172,170258,170069,158407,11662,189,71914,294929,316782,43558,247610,2527,652,14221,190,563,7461,159112,157670,15337,18266,18417,25483,33522,22361,20147,19837,20819,21094,21317,20757,19456,14897,9515,6393,4314,4850,63136,47889,36.2,125026,73339,51687,34953,16734,132801,125026,7775,77815,47211,205757,11124,70414,124219,75669,103677,42119,1982,1230,1334,423500,282635,14507,19640,101850,175814,4971,34147,217964,166401,25310,18043,6927,1283,167328,121578,108318,13260,8158,7948,210,7460,8502,1875,19755,147573,22142,51872,31688,19404,14399,8068,307874,96142,5266,3639,14882,14629,15016,34332,8378,211732,4986,17102,25547,22476,28555,15974,6697,2333,9131,77815,2880,747,1804,4544,5983,6831,13498,11154,17217,7241,5916,47211,1556,1181,2955,5620,8934,7819,10574,7128,1444,305605,39882,56553,62378,38960,7254,2484,2.44,15986,9010,8900,8797,8511,10804,15668,12013,8774,12010,14553,314665,26094,261334,180339,180263,170940,9323,76,80995,314665,178601,177908,356508,6366,7218,12649,17102,20679,21631,22018,22025,21379,19458,21826,23416,28557,36155,25635,17784,16003,19788,67961,49840,7,63360,46747,16613,0.262200126
Chaffee,17879,1722,15439,500,71,60,0,0,87,9517,8362,750,860,811,805,862,1178,961,988,1168,1306,1486,1563,1499,1253,835,682,482,390,2960,1128,47.3,7680,4955,2725,2361,364,10038,7680,2358,5834,1846,13791,1197,7988,4606,45713,58114,27961,1979,704,859,256300,17311,237,331,6986,10110,215,568,17729,14985,944,1185,593,22,8054,6484,5759,725,18,18,0,244,382,86,840,7214,3824,1893,383,602,232,280,17375,2968,246,198,684,649,720,374,97,14407,47,1866,2120,851,1984,969,419,250,1532,5834,339,161,566,874,883,742,1055,602,405,65,142,1846,204,254,343,338,480,118,50,0,59,16573,1556,3396,2864,3544,461,265,2.17,1330,1039,829,996,618,902,906,424,274,161,201,16657,2151,15315,8841,8829,8156,673,12,6474,16657,18818,1895,16053,300,76,147,0,0,347,10056,8762,677,643,1067,865,659,1198,1206,991,1064,1065,1565,1506,1784,1344,1414,798,412,560,2855,1056,49.9,7900,5412,2488,1948,540,10630,7900,2730,6091,1809,14907,1255,8829,4823,53762,67141,28907,1980,668,805,313200,18163,341,314,7649,10231,283,655,103893,84502,7025,7600,3716,1050,8135,6428,5837,591,22,22,0,470,362,27,826,7309,3144,1945,734,872,338,276,18369,3064,183,151,445,972,773,385,155,15305,229,2485,1692,908,1857,1017,574,189,1679,6091,280,208,143,700,876,634,1544,636,736,195,139,1809,121,183,539,339,352,81,84,8,102,17649,1686,3566,2855,4426,235,329,2.23,1151,1090,730,623,770,936,1111,576,323,331,259,17649,3027,16260,8597,8597,8379,218,0,7663,17649,11307,10383,21692,730,839,1254,1497,1472,1397,1256,1195,1314,1464,1181,1450,1242,1307,1044,1097,1017,1134,3869,1728,8,2227,1477,750,0.336775932
Cheyenne,2095,308,1761,5,1,11,0,0,9,1005,1090,140,133,129,107,110,121,92,183,94,162,143,149,147,98,82,50,60,95,498,121,41,858,542,316,287,29,1092,858,234,656,202,1476,207,994,275,50357,64783,24502,1963,351,463,81700,1918,33,144,1176,739,3,177,2070,1765,122,136,47,0,1081,908,792,116,0,0,0,8,37,0,128,953,557,97,135,71,64,29,1994,466,45,49,88,110,110,58,6,1528,0,67,87,164,161,95,112,106,300,656,189,207,132,47,20,24,21,0,10,6,0,202,65,58,39,9,6,0,0,0,25,2045,159,366,490,348,42,12,2.38,170,60,118,79,87,149,83,52,24,30,6,2045,392,1670,1108,1108,1081,27,0,562,2045,2127,317,1702,1,0,65,3,0,39,1086,1041,189,183,185,147,98,103,126,150,121,124,148,173,108,66,39,38,57,72,663,139,35.8,776,507,269,252,17,921,776,145,570,206,1325,128,907,290,54907,68523,23698,1973,488,613,90000,1942,63,122,1461,469,12,185,14704,12801,1170,558,164,11,927,731,678,53,0,0,0,0,61,27,108,819,433,247,50,40,29,20,1998,564,40,32,152,136,141,54,9,1434,8,64,137,150,155,58,77,36,236,570,137,170,74,72,55,19,29,11,3,0,0,206,37,31,59,15,0,3,0,0,61,2077,245,450,639,255,65,36,2.69,140,75,72,60,68,116,141,45,21,21,17,2086,288,1520,1013,1013,931,82,0,507,2086,924,925,1852,56,43,78,119,117,132,101,98,111,118,78,98,73,83,117,150,140,168,522,131,9,320,174,146,0.45625
Clear Creek,9059,453,8327,27,7,45,0,0,200,4804,4255,388,311,629,505,249,439,487,548,768,828,993,1089,685,493,299,73,148,127,1671,411,45.8,4013,2235,1778,1430,348,5679,4013,1666,3199,814,6977,322,4053,2602,60517,80683,36015,1974,705,849,278700,8745,158,156,3473,5226,46,314,9026,8019,590,325,82,10,5005,4110,3659,451,78,78,0,7,250,55,505,4500,1027,778,702,791,630,572,8786,1764,97,2,334,372,587,247,125,7022,33,492,711,693,1458,572,297,180,1243,3199,122,112,335,415,372,424,664,389,303,0,63,814,50,62,229,182,168,40,33,6,44,8924,873,1457,1651,1140,189,44,2.23,626,312,379,338,336,410,586,307,322,214,183,8941,1062,7660,5556,5548,5141,407,8,2104,8941,9257,567,8320,81,10,80,19,0,180,4752,4505,384,364,476,528,399,438,476,610,569,703,803,1053,801,748,441,234,195,35,1524,627,47.2,4374,2661,1713,1440,273,5756,4374,1382,3377,997,7106,148,3658,3300,68534,87684,41257,1974,700,810,317000,8975,36,246,3481,5301,193,282,52433,46213,4048,1708,429,35,5087,3943,3375,568,25,25,0,43,204,113,759,4328,703,717,655,732,991,530,9007,1588,64,100,383,298,429,223,91,7419,82,599,578,796,1372,851,170,83,1225,3377,176,107,224,288,336,459,580,464,466,166,111,997,48,138,286,227,131,48,26,63,30,9100,622,990,1482,1653,114,59,2.09,474,253,430,453,337,540,477,546,305,364,195,9149,859,7947,5421,5419,5248,171,2,2526,9149,5031,4855,9884,215,275,449,639,764,709,705,699,669,628,524,589,488,462,578,508,520,564,1958,689,10,858,627,231,0.269230769
